,,,,,,,,,,,,
,OCR | Physics - A Level,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,https://www.ocr.org.uk/qualifications/as-and-a-level/physics-a-h156-h556-from-2015/,,,,,,,,,Physics Resources,,
,,,,,,,,,,,,
,Paper 1 - Modelling Physics (100 Marks),,,Paper 2 - Exploring Physics (100 Marks),,,Paper 3 - Unified Physics (70 Marks),,,Resource,,Resource Link
,,,,,,,,,,,,
,Paper,Mark Scheme,,Paper,Mark Scheme,,Paper,Mark Scheme,,A Level Physics Online,,https://www.alevelphysicsonline.com/ocr-spec-a
Jun 2023,https://www.ocr.org.uk/Images/703919-question-paper-modelling-physics.pdf,https://www.ocr.org.uk/Images/704042-mark-scheme-modelling-physics.pdf,,https://www.ocr.org.uk/Images/703920-question-paper-exploring-physics.pdf,https://www.ocr.org.uk/Images/704043-mark-scheme-exploring-physics.pdf,,https://www.ocr.org.uk/Images/703921-question-paper-unified-physics.pdf,https://www.ocr.org.uk/Images/704044-mark-scheme-unified-physics.pdf,Jun 2023,,,
Jun 2022,https://www.ocr.org.uk/Images/676906-question-paper-modelling-physics.pdf,https://www.ocr.org.uk/Images/677043-mark-scheme-modelling-physics.pdf,,https://www.ocr.org.uk/Images/676907-question-paper-exploring-physics.pdf,https://www.ocr.org.uk/Images/677044-mark-scheme-exploring-physics.pdf,,https://www.ocr.org.uk/Images/676908-question-paper-unified-physics.pdf,https://www.ocr.org.uk/Images/677045-mark-scheme-unified-physics.pdf,Jun 2022,Grade Boundaries,,https://www.alevelphysicsonline.com/_files/ugd/bbdbae_e169f86e4bb24590b9737fec81e60a92.pdf
Nov 2021,https://www.ocr.org.uk/Images/667295-question-paper-modelling-physics.pdf,https://www.ocr.org.uk/Images/667300-mark-scheme-modelling-physics.pdf,,https://www.ocr.org.uk/Images/667296-question-paper-exploring-physics.pdf,https://www.ocr.org.uk/Images/667301-mark-scheme-exploring-physics.pdf,,https://www.ocr.org.uk/Images/667297-question-paper-unified-physics.pdf,https://www.ocr.org.uk/Images/667302-mark-scheme-unified-physics.pdf,Nov 2021,,,
Nov 2020,https://www.ocr.org.uk/Images/643598-question-paper-modelling-physics.pdf,https://www.ocr.org.uk/Images/643603-mark-scheme-modelling-physics.pdf,,https://www.ocr.org.uk/Images/643599-question-paper-exploring-physics.pdf,https://www.ocr.org.uk/Images/643604-mark-scheme-exploring-physics.pdf,,https://www.ocr.org.uk/Images/643600-question-paper-unified-physics.pdf,https://www.ocr.org.uk/Images/643605-m,Nov 2020,N/A,,N/A
Jun 2019,https://www.ocr.org.uk/Images/621258-question-paper-modelling-physics.pdf,https://www.ocr.org.uk/Images/621436-mark-scheme-modelling-physics.pdf,,https://www.ocr.org.uk/Images/621259-question-paper-exploring-physics.pdf,https://www.ocr.org.uk/Images/621437-mark-scheme-exploring-physics.pdf,,https://www.ocr.org.uk/Images/621260-question-paper-unified-physics.pdf,https://www.ocr.org.uk/Images/621438-mark-scheme-unified-physics.pdf,Jun 2019,,,
Jun 2018,https://www.ocr.org.uk/Images/528085-question-paper-modelling-physics.pdf,https://www.ocr.org.uk/Images/529274-mark-scheme-modelling-physics.pdf,,https://www.ocr.org.uk/Images/528086-question-paper-exploring-physics.pdf,https://www.ocr.org.uk/Images/529275-mark-scheme-exploring-physics.pdf,,https://www.ocr.org.uk/Images/528087-question-paper-unified-physics.pdf,https://www.ocr.org.uk/Images/529276-mark-scheme-unified-physics.pdf,Jun 2018,N/A,,N/A
Jun 2017,https://www.ocr.org.uk/Images/471907-question-paper-modelling-physics.pdf,https://www.ocr.org.uk/Images/472805-mark-scheme-modelling-physics.pdf,,https://www.ocr.org.uk/Images/471908-question-paper-unit-h556-02-exploring-physics.pdf,https://www.ocr.org.uk/Images/472809-mark-scheme-exploring-physics.pdf,,https://www.ocr.org.uk/Images/471909-question-paper-unit-h556-03-unified-physics.pdf,https://www.ocr.org.uk/Images/472810-mark-scheme-unified-physics.pdf,Jun 2017,,,