,OCR | Physics - AS Level,,,,,,,,,N/A
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,https://www.ocr.org.uk/qualifications/as-and-a-level/physics-a-h156-h556-from-2015/,,,,,,,,,
,,,,,,,,,,
,Breadth in Physics (70 Marks),,,Depth in Physics (70 Marks),,,,,,
,,,,,,,,,,
,Paper,Mark Scheme,,Paper,Mark Scheme,,,,,
Jun 2023,https://www.ocr.org.uk/Images/704301-question-paper-breadth-in-physics.pdf,https://www.ocr.org.uk/Images/704315-mark-scheme-breadth-in-physics.pdf,,https://www.ocr.org.uk/Images/704302-question-paper-depth-in-physics.pdf,https://www.ocr.org.uk/Images/704316-mark-scheme-depth-in-physics.pdf,,,,,
Jun 2022,https://www.ocr.org.uk/Images/677416-question-paper-breadth-in-physics.pdf,https://www.ocr.org.uk/Images/677433-mark-scheme-breadth-in-physics.pdf,,https://www.ocr.org.uk/Images/677417-question-paper-depth-in-physics.pdf,https://www.ocr.org.uk/Images/677434-mark-scheme-depth-in-physics.pdf,,,,,
Nov 2021,https://www.ocr.org.uk/Images/667483-question-paper-breadth-in-physics.pdf,https://www.ocr.org.uk/Images/667487-mark-scheme-breadth-in-physics.pdf,,https://www.ocr.org.uk/Images/667484-question-paper-depth-in-physics.pdf,https://www.ocr.org.uk/Images/667488-mark-scheme-depth-in-physics.pdf,,,,,
Nov 2020,https://www.ocr.org.uk/Images/643867-question-paper-breadth-in-physics.pdf,https://www.ocr.org.uk/Images/643871-mark-scheme-breadth-in-physics.pdf,,https://www.ocr.org.uk/Images/643868-question-paper-depth-in-physics.pdf,https://www.ocr.org.uk/Images/643872-mark-scheme-depth-in-physics.pdf,,,,,
Jun 2019,https://www.ocr.org.uk/Images/620947-question-paper-breadth-in-physics.pdf,https://www.ocr.org.uk/Images/620969-mark-scheme-breadth-in-physics.pdf,,https://www.ocr.org.uk/Images/620948-question-paper-depth-in-physics.pdf,https://www.ocr.org.uk/Images/620970-mark-scheme-depth-in-physics.pdf,,,,,
Jun 2018,https://www.ocr.org.uk/Images/528510-question-paper-breadth-in-physics.pdf,https://www.ocr.org.uk/Images/529349-mark-scheme-breadth-in-physics.pdf,,https://www.ocr.org.uk/Images/528511-question-paper-depth-in-physics.pdf,https://www.ocr.org.uk/Images/529350-mark-scheme-depth-in-physics.pdf,,,,,
Jun 2017,https://www.ocr.org.uk/Images/493462-question-paper-breadth-in-physics.pdf,https://www.ocr.org.uk/Images/498078-mark-scheme-breadth-in-physics.pdf,,https://www.ocr.org.uk/Images/493463-question-paper-depth-in-physics.pdf,https://www.ocr.org.uk/Images/498079-mark-scheme-depth-in-physics.pdf,,,,,
Jun 2016,https://www.ocr.org.uk/Images/409017-question-paper-unit-h156-01-breadth-in-physics.pdf,https://www.ocr.org.uk/Images/410710-mark-scheme-unit-h156-01-breadth-in-physics-june.pdf,,https://www.ocr.org.uk/Images/409018-question-paper-unit-h156-02-depth-in-physics.pdf,https://www.ocr.org.uk/Images/410711-mark-scheme-unit-h156-02-depth-in-physics-june.pdf,,,,,